,datetime,NDVI,siteNumber
245,2018-11-01,0.227872833609581,0
246,2018-11-09,,0
247,2018-11-17,0.20886443555355072,0
248,2018-11-25,,0
249,2018-12-03,0.23589695990085602,0
250,2018-12-11,,0
251,2018-12-19,0.2294793576002121,0
252,2018-12-27,,0
253,2019-01-01,,0
254,2019-01-09,0.23308275640010834,0
255,2019-01-17,,0
256,2019-01-25,0.0876883789896965,0
257,2019-02-02,,0
258,2019-02-10,0.2359364628791809,0
259,2019-02-18,,0
260,2019-02-26,0.2119060903787613,0
261,2019-03-06,,0
262,2019-03-14,0.08212068676948547,0
263,2019-03-22,,0
264,2019-03-30,0.15050414204597473,0
265,2019-04-07,,0
266,2019-04-15,0.23096826672554016,0
267,2019-04-23,,0
268,2019-05-01,0.2755791246891022,0
269,2019-05-09,,0
270,2019-05-17,0.19258905947208405,0
271,2019-05-25,,0
272,2019-06-02,,0
273,2019-06-10,,0
274,2019-06-18,0.42024320363998413,0
275,2019-06-26,,0
276,2019-07-04,0.5056489706039429,0
277,2019-07-12,,0
278,2019-07-20,0.802688479423523,0
279,2019-07-28,,0
280,2019-08-05,0.2779790461063385,0
281,2019-08-13,,0
282,2019-08-21,,0
283,2019-08-29,,0
284,2019-09-06,0.07878381758928299,0
285,2019-09-14,,0
286,2019-09-22,0.6311579346656799,0
287,2019-09-30,,0
288,2019-10-08,0.2663903534412384,0
289,2019-10-16,,0
290,2019-10-24,0.2940269410610199,0
291,2019-11-01,,0
292,2019-11-09,0.2585727572441101,0
293,2019-11-17,,0
294,2019-11-25,0.2462148219347,0
295,2019-12-03,,0
296,2019-12-11,0.2330794632434845,0
297,2019-12-19,,0
298,2019-12-27,0.22446367144584656,0
299,2020-01-01,,0
300,2020-01-09,0.20782122015953064,0
301,2020-01-17,,0
302,2020-01-25,0.2234220951795578,0
303,2020-02-02,,0
304,2020-02-10,0.22288723289966583,0
305,2020-02-18,,0
306,2020-02-26,0.07419562339782715,0
307,2020-03-05,,0
308,2020-03-13,0.1348785012960434,0
309,2020-03-21,,0
310,2020-03-29,0.15789972245693207,0
311,2020-04-06,,0
312,2020-04-14,0.10634128004312515,0
313,2020-04-22,,0
314,2020-04-30,0.26174306869506836,0
315,2020-05-08,,0
316,2020-05-16,0.1156812235713005,0
317,2020-05-24,,0
318,2020-06-01,0.11871068924665451,0
319,2020-06-09,,0
320,2020-06-17,0.26306623220443726,0
321,2020-06-25,,0
322,2020-07-03,0.44824421405792236,0
323,2020-07-11,,0
324,2020-07-19,,0
325,2020-07-27,,0
326,2020-08-04,0.821211576461792,0
327,2020-08-12,,0
328,2020-08-20,0.7923497557640076,0
329,2020-08-28,,0
330,2020-09-05,0.7405100464820862,0
331,2020-09-13,,0
332,2020-09-21,0.6164053082466125,0
333,2020-09-29,,0
